date,home,away,score_home,score_away,xg_home,xg_away,result
2023-08-11,Burnley,Manchester City,0,3,0.31,2.4,A
2023-08-12,Arsenal,Nottingham Forest,2,1,0.84,0.97,H
2023-08-12,Bournemouth,West Ham,1,1,1.51,1.48,D
2023-08-12,Brighton,Luton,4,1,4.37,1.89,H
2023-08-12,Everton,Fulham,0,1,2.59,1.58,A
2023-08-12,Sheffield United,Crystal Palace,0,1,0.42,2.28,A
2023-08-12,Newcastle United,Aston Villa,5,1,4.32,1.49,H
2023-08-13,Brentford,Tottenham,2,2,1.91,1.45,D
2023-08-13,Chelsea,Liverpool,1,1,1.93,1.3,D
2023-08-14,Manchester United,Wolverhampton Wanderers,1,0,1.97,1.72,H
2023-08-18,Nottingham Forest,Sheffield United,2,1,1.37,0.55,H
2023-08-19,Wolverhampton Wanderers,Brighton,1,4,2.69,3.16,A
2023-08-19,Fulham,Brentford,0,3,0.4,3.47,A
2023-08-19,Liverpool,Bournemouth,3,1,3.25,1.39,H
2023-08-19,Tottenham,Manchester United,2,0,2.54,2.45,H
2023-08-19,Manchester City,Newcastle United,1,0,1.23,0.26,H
2023-08-20,Aston Villa,Everton,4,0,3.24,0.72,H
2023-08-20,West Ham,Chelsea,3,1,1.71,1.61,H
2023-08-21,Crystal Palace,Arsenal,0,1,1.07,2.21,A
2023-08-25,Chelsea,Luton,3,0,3.41,0.47,H
2023-08-26,Brighton,West Ham,1,3,1.37,2.95,A
2023-08-26,Manchester United,Nottingham Forest,3,2,3.03,0.96,H
2023-08-26,Everton,Wolverhampton Wanderers,0,1,1.9,1.4,A
2023-08-26,Arsenal,Fulham,2,2,3.23,0.85,D
2023-08-26,Bournemouth,Tottenham,0,2,0.48,2.26,A
2023-08-26,Brentford,Crystal Palace,1,1,0.95,1.06,D
2023-08-27,Burnley,Aston Villa,1,3,0.63,2.84,A
2023-08-27,Sheffield United,Manchester City,1,2,0.76,3.85,A
2023-08-27,Newcastle United,Liverpool,1,2,1.62,0.86,A
2023-09-01,Luton,West Ham,1,2,2.02,1.23,A
2023-09-02,Brighton,Newcastle United,3,1,1.32,0.9,H
2023-09-02,Burnley,Tottenham,2,5,1.67,2.4,A
2023-09-02,Chelsea,Nottingham Forest,0,1,2.28,1.15,A
2023-09-02,Manchester City,Fulham,5,1,2.0,1.46,H
2023-09-02,Sheffield United,Everton,2,2,1.57,2.74,D
2023-09-02,Brentford,Bournemouth,2,2,3.07,2.11,D
2023-09-03,Crystal Palace,Wolverhampton Wanderers,3,2,2.33,1.14,H
2023-09-03,Liverpool,Aston Villa,3,0,2.73,0.62,H
2023-09-03,Arsenal,Manchester United,3,1,1.91,0.97,H
2023-09-16,Manchester United,Brighton,1,3,0.72,1.94,A
2023-09-16,Wolverhampton Wanderers,Liverpool,1,3,0.54,2.83,A
2023-09-16,Tottenham,Sheffield United,2,1,2.16,0.79,H
2023-09-16,West Ham,Manchester City,1,3,0.9,4.15,A
2023-09-16,Aston Villa,Crystal Palace,3,1,2.32,1.12,H
2023-09-16,Fulham,Luton,1,0,1.76,1.46,H
2023-09-16,Newcastle United,Brentford,1,0,1.5,0.63,H
2023-09-17,Bournemouth,Chelsea,0,0,1.33,1.4,D
2023-09-17,Everton,Arsenal,0,1,0.28,0.8,A
2023-09-18,Nottingham Forest,Burnley,1,1,0.71,0.81,D
2023-09-23,Luton,Wolverhampton Wanderers,1,1,2.24,0.76,D
2023-09-23,Manchester City,Nottingham Forest,2,0,1.34,0.73,H
2023-09-23,Crystal Palace,Fulham,0,0,0.37,0.54,D
2023-09-23,Brentford,Everton,1,3,1.57,2.51,A
2023-09-23,Burnley,Manchester United,0,1,0.94,0.84,A
2023-09-24,Chelsea,Aston Villa,0,1,1.2,1.13,A
2023-09-24,Brighton,Bournemouth,3,1,2.15,1.59,H
2023-09-24,Arsenal,Tottenham,2,2,2.34,2.21,D
2023-09-24,Liverpool,West Ham,3,1,4.14,1.54,H
2023-09-24,Sheffield United,Newcastle United,0,8,0.58,5.11,A
2023-09-30,Tottenham,Liverpool,2,1,2.19,1.12,H
2023-09-30,Wolverhampton Wanderers,Manchester City,2,1,0.67,0.98,H
2023-09-30,West Ham,Sheffield United,2,0,3.2,0.91,H
2023-09-30,Bournemouth,Arsenal,0,4,0.64,4.07,A
2023-09-30,Everton,Luton,1,2,3.65,1.51,A
2023-09-30,Manchester United,Crystal Palace,0,1,1.55,1.19,A
2023-09-30,Aston Villa,Brighton,6,1,1.91,1.73,H
2023-09-30,Newcastle United,Burnley,2,0,3.09,0.8,H
2023-10-01,Nottingham Forest,Brentford,1,1,0.8,1.76,D
2023-10-02,Fulham,Chelsea,0,2,0.89,1.98,A
2023-10-03,Luton,Burnley,1,2,1.53,0.92,A
2023-10-07,Manchester United,Brentford,2,1,1.29,1.03,H
2023-10-07,Crystal Palace,Nottingham Forest,0,0,0.98,1.22,D
2023-10-07,Fulham,Sheffield United,3,1,2.27,0.25,H
2023-10-07,Everton,Bournemouth,3,0,3.16,0.98,H
2023-10-07,Burnley,Chelsea,1,4,0.96,1.98,A
2023-10-07,Luton,Tottenham,0,1,0.85,2.38,A
2023-10-08,Brighton,Liverpool,2,2,2.23,2.51,D
2023-10-08,West Ham,Newcastle United,2,2,0.93,1.98,D
2023-10-08,Wolverhampton Wanderers,Aston Villa,1,1,1.76,1.82,D
2023-10-08,Arsenal,Manchester City,1,0,0.39,0.86,H
2023-10-21,Sheffield United,Manchester United,1,2,1.41,1.46,A
2023-10-21,Chelsea,Arsenal,2,2,1.72,1.06,D
2023-10-21,Newcastle United,Crystal Palace,4,0,3.73,1.09,H
2023-10-21,Nottingham Forest,Luton,2,2,3.28,1.5,D
2023-10-21,Brentford,Burnley,3,0,3.16,0.69,H
2023-10-21,Bournemouth,Wolverhampton Wanderers,1,2,1.02,2.3,A
2023-10-21,Liverpool,Everton,2,0,2.29,0.09,H
2023-10-21,Manchester City,Brighton,2,1,0.96,0.96,H
2023-10-22,Aston Villa,West Ham,4,1,2.34,0.66,H
2023-10-23,Tottenham,Fulham,2,0,1.64,0.75,H
2023-10-27,Crystal Palace,Tottenham,1,2,0.56,0.99,A
2023-10-28,Chelsea,Brentford,0,2,1.72,2.48,A
2023-10-28,Bournemouth,Burnley,2,1,1.1,0.9,H
2023-10-28,Arsenal,Sheffield United,5,0,3.03,0.03,H
2023-10-28,Wolverhampton Wanderers,Newcastle United,2,2,0.86,2.32,D
2023-10-29,Manchester United,Manchester City,0,3,0.71,4.55,A
2023-10-29,Liverpool,Nottingham Forest,3,0,2.7,0.64,H
2023-10-29,West Ham,Everton,0,1,0.62,0.73,A
2023-10-29,Aston Villa,Luton,3,1,3.08,0.45,H
2023-10-29,Brighton,Fulham,1,1,1.32,0.55,D
2023-11-04,Fulham,Manchester United,0,1,1.18,0.7,A
2023-11-04,Brentford,West Ham,3,2,1.83,1.76,H
2023-11-04,Burnley,Crystal Palace,0,2,1.5,1.44,A
2023-11-04,Everton,Brighton,1,1,0.62,0.44,D
2023-11-04,Manchester City,Bournemouth,6,1,2.4,0.64,H
2023-11-04,Sheffield United,Wolverhampton Wanderers,2,1,1.1,1.15,H
2023-11-04,Newcastle United,Arsenal,1,0,1.12,0.54,H
2023-11-05,Nottingham Forest,Aston Villa,2,0,0.59,1.33,H
2023-11-05,Luton,Liverpool,1,1,1.34,3.04,D
2023-11-06,Tottenham,Chelsea,1,4,0.96,4.06,A
2023-11-11,Bournemouth,Newcastle United,2,0,2.78,0.31,H
2023-11-11,Manchester United,Luton,1,0,2.74,0.41,H
2023-11-11,Arsenal,Burnley,3,1,2.63,0.33,H
2023-11-11,Wolverhampton Wanderers,Tottenham,2,1,1.91,0.43,H
2023-11-11,Crystal Palace,Everton,2,3,1.89,1.79,A
2023-11-12,Aston Villa,Fulham,3,1,2.86,0.65,H
2023-11-12,Brighton,Sheffield United,1,1,1.09,0.84,D
2023-11-12,Liverpool,Brentford,3,0,1.56,1.45,H
2023-11-12,West Ham,Nottingham Forest,3,2,2.06,1.42,H
2023-11-12,Chelsea,Manchester City,4,4,3.47,3.19,D
2023-11-25,Sheffield United,Bournemouth,1,3,0.82,3.14,A
2023-11-25,Brentford,Arsenal,0,1,1.66,1.83,A
2023-11-25,Nottingham Forest,Brighton,2,3,2.23,1.22,A
2023-11-25,Luton,Crystal Palace,2,1,1.0,1.84,H
2023-11-25,Burnley,West Ham,1,2,1.44,1.37,A
2023-11-25,Newcastle United,Chelsea,4,1,2.15,0.97,H
2023-11-25,Manchester City,Liverpool,1,1,1.8,0.77,D
2023-11-26,Tottenham,Aston Villa,1,2,2.23,2.4,A
2023-11-26,Everton,Manchester United,0,3,2.5,2.07,A
2023-11-27,Fulham,Wolverhampton Wanderers,3,2,2.49,1.58,H
2023-12-02,Nottingham Forest,Everton,0,1,0.67,0.62,A
2023-12-02,Burnley,Sheffield United,5,0,2.6,0.62,H
2023-12-02,Newcastle United,Manchester United,1,0,2.9,0.42,H
2023-12-02,Arsenal,Wolverhampton Wanderers,2,1,3.3,1.08,H
2023-12-02,Brentford,Luton,3,1,3.26,0.23,H
2023-12-03,Bournemouth,Aston Villa,2,2,2.55,0.9,D
2023-12-03,Chelsea,Brighton,3,2,1.66,0.86,H
2023-12-03,Liverpool,Fulham,4,3,2.73,1.51,H
2023-12-03,West Ham,Crystal Palace,1,1,1.15,0.99,D
2023-12-03,Manchester City,Tottenham,3,3,2.91,0.43,D
2023-12-05,Wolverhampton Wanderers,Burnley,1,0,1.12,0.78,H
2023-12-05,Luton,Arsenal,3,4,0.53,2.59,A
2023-12-06,Crystal Palace,Bournemouth,0,2,1.26,1.8,A
2023-12-06,Aston Villa,Manchester City,1,0,2.19,1.0,H
2023-12-06,Manchester United,Chelsea,2,1,4.04,2.35,H
2023-12-06,Sheffield United,Liverpool,0,2,0.83,1.8,A
2023-12-06,Brighton,Brentford,2,1,1.54,1.22,H
2023-12-06,Fulham,Nottingham Forest,5,0,3.09,0.22,H
2023-12-07,Everton,Newcastle United,3,0,2.95,1.3,H
2023-12-07,Tottenham,West Ham,1,2,1.61,1.74,A
2023-12-09,Wolverhampton Wanderers,Nottingham Forest,1,1,1.02,1.22,D
2023-12-09,Sheffield United,Brentford,1,0,0.84,0.64,H
2023-12-09,Aston Villa,Arsenal,1,0,0.63,1.72,H
2023-12-09,Brighton,Burnley,1,1,2.96,1.05,D
2023-12-09,Crystal Palace,Liverpool,1,2,1.79,1.37,A
2023-12-09,Manchester United,Bournemouth,0,3,1.11,1.97,A
2023-12-10,Everton,Chelsea,2,0,1.11,0.89,H
2023-12-10,Fulham,West Ham,5,0,2.19,0.98,H
2023-12-10,Luton,Manchester City,1,2,0.69,2.23,A
2023-12-10,Tottenham,Newcastle United,4,1,4.4,1.61,H
2023-12-15,Nottingham Forest,Tottenham,0,2,1.71,1.61,A
2023-12-16,Burnley,Everton,0,2,0.81,2.22,A
2023-12-16,Chelsea,Sheffield United,2,0,3.27,0.44,H
2023-12-16,Manchester City,Crystal Palace,2,2,2.42,1.65,D
2023-12-16,Newcastle United,Fulham,3,0,4.28,0.47,H
2023-12-17,West Ham,Wolverhampton Wanderers,3,0,1.04,0.56,H
2023-12-17,Liverpool,Manchester United,0,0,1.97,0.63,D
2023-12-17,Arsenal,Brighton,2,0,2.77,0.66,H
2023-12-17,Brentford,Aston Villa,1,2,0.8,1.47,A
2023-12-21,Crystal Palace,Brighton,1,1,1.65,1.34,D
2023-12-22,Aston Villa,Sheffield United,1,1,1.22,0.65,D
2023-12-23,West Ham,Manchester United,2,0,1.51,0.73,H
2023-12-23,Fulham,Burnley,0,2,1.38,0.42,A
2023-12-23,Luton,Newcastle United,1,0,1.82,1.41,H
2023-12-23,Nottingham Forest,Bournemouth,2,3,0.79,1.89,A
2023-12-23,Tottenham,Everton,2,1,1.58,1.98,H
2023-12-23,Liverpool,Arsenal,1,1,0.98,0.85,D
2023-12-24,Wolverhampton Wanderers,Chelsea,2,1,1.75,1.75,H
2023-12-26,Manchester United,Aston Villa,3,2,1.2,1.84,H
2023-12-26,Burnley,Liverpool,0,2,0.97,1.68,A
2023-12-26,Newcastle United,Nottingham Forest,1,3,2.79,3.11,A
2023-12-26,Bournemouth,Fulham,3,0,2.08,0.32,H
2023-12-26,Sheffield United,Luton,2,3,3.62,0.72,A
2023-12-27,Brentford,Wolverhampton Wanderers,1,4,2.59,1.89,A
2023-12-27,Chelsea,Crystal Palace,2,1,2.73,0.96,H
2023-12-27,Everton,Manchester City,1,3,1.24,2.28,A
2023-12-28,Brighton,Tottenham,4,2,3.85,2.07,H
2023-12-28,Arsenal,West Ham,0,2,2.79,1.6,A
2023-12-30,Wolverhampton Wanderers,Everton,3,0,2.64,0.52,H
2023-12-30,Nottingham Forest,Manchester United,2,1,0.74,0.65,H
2023-12-30,Manchester City,Sheffield United,2,0,2.24,0.26,H
2023-12-30,Aston Villa,Burnley,3,2,2.93,1.12,H
2023-12-30,Crystal Palace,Brentford,3,1,1.61,1.29,H
2023-12-30,Luton,Chelsea,2,3,2.64,1.57,A
2023-12-31,Fulham,Arsenal,2,1,1.53,1.66,H
2023-12-31,Tottenham,Bournemouth,3,1,2.15,1.58,H
2024-01-01,Liverpool,Newcastle United,4,2,6.67,0.91,H
2024-01-02,West Ham,Brighton,0,0,0.98,2.16,D
2024-01-12,Burnley,Luton,1,1,1.52,0.97,D
2024-01-13,Chelsea,Fulham,1,0,2.05,0.7,H
2024-01-13,Newcastle United,Manchester City,2,3,1.24,2.55,A
2024-01-14,Everton,Aston Villa,0,0,1.04,1.34,D
2024-01-14,Manchester United,Tottenham,2,2,0.92,1.31,D
2024-01-20,Brentford,Nottingham Forest,3,2,1.94,1.22,H
2024-01-20,Arsenal,Crystal Palace,5,0,3.52,0.29,H
2024-01-21,Sheffield United,West Ham,2,2,2.61,2.42,D
2024-01-21,Bournemouth,Liverpool,0,4,0.83,1.53,A
2024-01-22,Brighton,Wolverhampton Wanderers,0,0,1.37,1.14,D
2024-01-30,Nottingham Forest,Arsenal,1,2,0.63,1.39,A
2024-01-30,Fulham,Everton,0,0,2.37,2.83,D
2024-01-30,Luton,Brighton,4,0,3.63,1.01,H
2024-01-30,Crystal Palace,Sheffield United,3,2,1.16,0.77,H
2024-01-30,Aston Villa,Newcastle United,1,3,1.44,3.32,A
2024-01-31,Liverpool,Chelsea,4,1,3.66,0.48,H
2024-01-31,Manchester City,Burnley,3,1,1.85,1.49,H
2024-01-31,Tottenham,Brentford,3,2,3.36,1.6,H
2024-02-01,Wolverhampton Wanderers,Manchester United,3,4,2.28,3.23,A
2024-02-01,West Ham,Bournemouth,1,1,1.31,1.13,D
2024-02-03,Everton,Tottenham,2,2,3.26,0.92,D
2024-02-03,Brighton,Crystal Palace,4,1,1.93,0.24,H
2024-02-03,Burnley,Fulham,2,2,1.0,1.29,D
2024-02-03,Newcastle United,Luton,4,4,2.37,2.67,D
2024-02-03,Sheffield United,Aston Villa,0,5,1.53,2.99,A
2024-02-04,Manchester United,West Ham,3,0,0.97,1.18,H
2024-02-04,Arsenal,Liverpool,3,1,2.85,0.54,H
2024-02-04,Bournemouth,Nottingham Forest,1,1,1.19,0.46,D
2024-02-04,Chelsea,Wolverhampton Wanderers,2,4,2.36,2.49,A
2024-02-05,Brentford,Manchester City,1,3,0.87,2.11,A
2024-02-10,Wolverhampton Wanderers,Brentford,0,2,1.06,1.85,A
2024-02-10,Manchester City,Everton,2,0,1.59,0.19,H
2024-02-10,Fulham,Bournemouth,3,1,1.75,2.61,H
2024-02-10,Liverpool,Burnley,3,1,3.15,1.11,H
2024-02-10,Luton,Sheffield United,1,3,1.76,1.98,A
2024-02-10,Tottenham,Brighton,2,1,2.11,1.49,H
2024-02-10,Nottingham Forest,Newcastle United,2,3,0.97,0.51,A
2024-02-11,Aston Villa,Manchester United,1,2,2.65,2.45,A
2024-02-11,West Ham,Arsenal,0,6,0.19,4.0,A
2024-02-12,Crystal Palace,Chelsea,1,3,0.72,1.27,A
2024-02-17,Manchester City,Chelsea,1,1,2.78,1.83,D
2024-02-17,Tottenham,Wolverhampton Wanderers,1,2,1.6,1.78,A
2024-02-17,Nottingham Forest,West Ham,2,0,2.67,0.52,H
2024-02-17,Burnley,Arsenal,0,5,0.34,2.21,A
2024-02-17,Fulham,Aston Villa,1,2,1.42,1.57,A
2024-02-17,Newcastle United,Bournemouth,2,2,2.38,2.08,D
2024-02-17,Brentford,Liverpool,1,4,1.7,3.09,A
2024-02-18,Sheffield United,Brighton,0,5,0.59,3.36,A
2024-02-18,Luton,Manchester United,1,2,1.57,3.59,A
2024-02-19,Everton,Crystal Palace,1,1,2.45,0.73,D
2024-02-20,Manchester City,Brentford,1,0,2.54,0.5,H
2024-02-21,Liverpool,Luton,4,1,3.7,0.96,H
2024-02-24,Crystal Palace,Burnley,3,0,2.42,0.08,H
2024-02-24,Arsenal,Newcastle United,4,1,2.59,0.22,H
2024-02-24,Bournemouth,Manchester City,0,1,0.93,1.8,A
2024-02-24,Brighton,Everton,1,1,1.65,0.29,D
2024-02-24,Aston Villa,Nottingham Forest,4,2,3.49,2.26,H
2024-02-24,Manchester United,Fulham,1,2,1.96,1.14,A
2024-02-25,Wolverhampton Wanderers,Sheffield United,1,0,1.22,0.65,H
2024-02-26,West Ham,Brentford,4,2,2.07,1.34,H
2024-03-02,Nottingham Forest,Liverpool,0,1,0.97,1.32,A
2024-03-02,Tottenham,Crystal Palace,3,1,2.66,0.28,H
2024-03-02,Luton,Aston Villa,2,3,2.43,2.09,A
2024-03-02,Newcastle United,Wolverhampton Wanderers,3,0,3.33,0.51,H
2024-03-02,Everton,West Ham,1,3,3.12,2.18,A
2024-03-02,Brentford,Chelsea,2,2,2.47,2.15,D
2024-03-02,Fulham,Brighton,3,0,1.38,1.15,H
2024-03-03,Burnley,Bournemouth,0,2,1.6,1.44,A
2024-03-03,Manchester City,Manchester United,3,1,2.64,0.15,H
2024-03-04,Sheffield United,Arsenal,0,6,0.2,2.47,A
2024-03-09,Arsenal,Brentford,2,1,1.59,0.73,H
2024-03-09,Crystal Palace,Luton,1,1,3.25,1.09,D
2024-03-09,Wolverhampton Wanderers,Fulham,2,1,1.3,2.94,H
2024-03-09,Manchester United,Everton,2,0,2.9,1.82,H
2024-03-09,Bournemouth,Sheffield United,2,2,3.93,1.92,D
2024-03-10,Aston Villa,Tottenham,0,4,1.23,2.25,A
2024-03-10,Brighton,Nottingham Forest,1,0,0.53,0.69,H
2024-03-10,West Ham,Burnley,2,2,1.87,0.88,D
2024-03-10,Liverpool,Manchester City,1,1,2.25,1.37,D
2024-03-11,Chelsea,Newcastle United,3,2,1.78,0.57,H
2024-03-13,Bournemouth,Luton,4,3,2.84,2.79,H
2024-03-16,Luton,Nottingham Forest,1,1,0.85,1.95,D
2024-03-16,Burnley,Brentford,2,1,2.7,1.25,H
2024-03-16,Fulham,Tottenham,3,0,2.47,2.15,H
2024-03-17,West Ham,Aston Villa,1,1,1.33,0.91,D
2024-03-30,Aston Villa,Wolverhampton Wanderers,2,0,1.28,1.66,H
2024-03-30,Tottenham,Luton,2,1,2.47,0.4,H
2024-03-30,Brentford,Manchester United,1,1,3.16,0.99,D
2024-03-30,Sheffield United,Fulham,3,3,1.79,1.1,D
2024-03-30,Chelsea,Burnley,2,2,4.47,2.1,D
2024-03-30,Bournemouth,Everton,2,1,1.39,0.93,H
2024-03-30,Newcastle United,West Ham,4,3,3.81,0.99,H
